hex_id,Elevation,TotalRainfall,Slope,LengthFromRiver,LU_CODE,LUL1_CODE,LUL2_CODE,LU_lv1,Risk_Score,Risk_Score_rw,r_stream_m,w_stream_m,r_elev,w_elev,r_rain_maj,w_rain_maj,r_slope_ma,w_slope_ma,w_dem,r_lu,w_lu
8a658bd102f7fff,185,1420.72,6.06,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd13997fff,89,1417.09,57.44,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd102e7fff,191,1421.04,16.62,588.83752,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1005ffff,47,1421.85,71.43,119.36092,U101,U,U1,U,12,3,2,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd1081ffff,100,1424.93,54.9,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1032ffff,52,1422.34,22.97,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11c07fff,212,1422.49,21.42,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1399ffff,101,1417.15,28.14,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd138d7fff,193,1416.71,55.82,601,U101,U,U1,U,12,2,1,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd100d7fff,52,1420.8,69.76,588.83752,U101,U,U1,U,15,3,2,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd13d67fff,22,1416.75,51.52,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd10a97fff,89,1422.82,62.05,119.36092,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10a87fff,181,1422.97,49.33,119.36092,U101,U,U1,U,13,3,1,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1398ffff,205,1417.78,5.03,601,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd1151ffff,95,1421.4,70.12,280.73192,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1074ffff,52,1420.09,55.98,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11ccffff,187,1422.09,31.69,601,U101,U,U1,U,13,3,1,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd13817fff,92,1417.69,48.26,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10297fff,41,1419.97,59.84,240.40407,U101,U,U1,U,14,3,3,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1006ffff,92,1422.42,65.8,119.36092,U101,U,U1,U,13,3,2,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd13bb7fff,0,1417.47,31.9,601,W101,W,W1,W,9,2,1,0.26,0,3,4,0.3,0,0.26,0.16,4,0.02
8a658bd103b7fff,216,1421.4,41.86,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1028ffff,238,1420.37,30.18,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd139a7fff,89,1418.43,55.02,280.73192,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1016ffff,189,1423.38,54.48,119.36092,U101,U,U1,U,16,3,4,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11c9ffff,214,1421.93,2.16,280.73192,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10687fff,94,1417.12,12.64,601,U101,U,U1,U,15,3,1,0.26,4,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd1388ffff,95,1416.66,4.75,601,U101,U,U1,U,12,2,1,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd13847fff,54,1418.79,20.12,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd1038ffff,187,1421.2,14.22,240.40407,U101,U,U1,U,16,4,3,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd1065ffff,89,1418.4,47.26,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10b97fff,94,1423.71,63.72,119.36092,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10037fff,205,1422.42,11.13,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1002ffff,192,1422.55,46.98,240.40407,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10817fff,94,1425.32,7.93,601,U101,U,U1,U,12,2,1,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd13837fff,89,1418.37,27.55,280.73192,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd108c7fff,204,1424.33,58.13,601,U101,U,U1,U,10,2,1,0.26,3,3,4,0.3,0,0.26,0.16,2,0.02
8a658bd100cffff,214,1421.08,26.63,119.36092,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd108affff,204,1424.97,73.16,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd106effff,40,1417.81,5.24,601,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd11d8ffff,200,1422.49,24.74,601,U101,U,U1,U,14,3,1,0.26,4,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10637fff,89,1418.65,46.5,240.40407,U101,U,U1,U,13,3,3,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd10257fff,214,1421.32,22.65,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd13987fff,51,1417.74,30.08,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1076ffff,212,1420.52,58.37,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11c4ffff,174,1422.33,18.49,601,U101,U,U1,U,13,3,1,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10357fff,199,1421.95,53.57,280.73192,U101,U,U1,U,14,3,1,0.26,4,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd13967fff,234,1420.21,64.36,588.83752,U101,U,U1,U,15,3,2,0.26,4,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd100c7fff,184,1421.16,19.05,588.83752,U101,U,U1,U,15,3,2,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd10387fff,174,1421.34,46.51,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10657fff,22,1418.51,53.82,240.40407,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10007fff,216,1422.3,20.69,240.40407,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd11c17fff,43,1422.43,18,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10aaffff,95,1423.1,59.18,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd114b7fff,43,1420.16,29.14,280.73192,U101,U,U1,U,14,3,3,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11437fff,188,1421.17,61.93,280.73192,U101,U,U1,U,13,3,3,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd11d9ffff,177,1422.4,26.88,601,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd10217fff,188,1421.16,7.72,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd11507fff,187,1421.67,66.3,280.73192,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd13957fff,237,1419.4,22.8,280.73192,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd138b7fff,94,1416.7,70.57,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd10a07fff,51,1423.44,65.95,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd106c7fff,42,1417.18,29.01,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1026ffff,41,1421.76,69.21,280.73192,U101,U,U1,U,14,3,2,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd106affff,44,1417.29,47.57,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11497fff,92,1419.79,64.16,280.73192,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd1158ffff,50,1420.9,45.19,280.73192,U101,U,U1,U,14,3,3,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd106cffff,51,1417.22,30.36,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1075ffff,92,1419.66,38.82,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11ceffff,185,1422.21,65.01,601,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd106f7fff,40,1417.31,15.73,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd100affff,52,1421.46,67.65,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd139affff,184,1418.33,8.27,280.73192,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1060ffff,51,1418.5,47.9,240.40407,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd13917fff,216,1418.96,55.04,280.73192,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd11cd7fff,11,1422,57.74,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10087fff,89,1421.19,42.46,119.36092,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11597fff,199,1420.57,30.34,588.83752,U101,U,U1,U,14,3,2,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd102effff,218,1420.95,3.22,588.83752,U101,U,U1,U,12,3,2,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd100effff,217,1421.57,42.38,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd11c27fff,191,1422.62,10.57,96.44206,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd102b7fff,179,1420.49,7.39,240.40407,U101,U,U1,U,15,3,3,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10287fff,186,1420.38,10.23,240.40407,U101,U,U1,U,15,3,3,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10bb7fff,94,1424.04,3.88,601,U405,U,U4,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1039ffff,191,1420.88,6.77,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1395ffff,237,1419.32,18.16,280.73192,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd106dffff,42,1416.87,3.25,601,U101,U,U1,U,13,3,1,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10167fff,86,1423.53,55.29,119.36092,U101,U,U1,U,15,3,4,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd111b7fff,187,1422.17,14.34,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd11c77fff,234,1422.45,26.44,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10a1ffff,92,1423.19,55.38,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1015ffff,228,1422.76,24.86,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10a57fff,217,1423.07,31.38,601,U101,U,U1,U,13,3,1,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10747fff,49,1420.12,36.94,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11d97fff,90,1422.52,67.29,601,U101,U,U1,U,14,3,1,0.26,4,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1020ffff,187,1421.34,47.47,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10ab7fff,89,1423.13,4.79,119.36092,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11da7fff,185,1422.78,18.94,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1030ffff,52,1422.08,64.66,280.73192,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1159ffff,208,1420.58,13.59,280.73192,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10a0ffff,49,1423.27,48.39,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd1061ffff,101,1417.92,49.83,240.40407,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1001ffff,210,1421.79,23.55,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10397fff,237,1421.02,23.16,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd138a7fff,89,1417.04,58.66,601,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd10377fff,211,1422.26,28.33,601,U101,U,U1,U,13,3,1,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11ca7fff,218,1422.33,4.78,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1008ffff,40,1421,34.21,588.83752,U101,U,U1,U,14,3,2,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11567fff,,1421.96,,601,U101,U,U1,U,12,2,1,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd10647fff,52,1419.04,61.57,240.40407,U101,U,U1,U,14,3,3,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd13857fff,49,1418.26,63.29,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd108f7fff,,1424.67,,601,U101,U,U1,U,15,3,1,0.26,4,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd100f7fff,181,1421.35,54,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11527fff,211,1421.86,19.69,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1390ffff,93,1419.36,18.29,280.73192,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd13927fff,93,1419.87,57.04,588.83752,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1031ffff,209,1421.87,50.92,240.40407,U101,U,U1,U,15,3,3,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1035ffff,174,1421.89,67.73,280.73192,U101,U,U1,U,14,3,3,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10317fff,89,1421.93,68.4,119.36092,U101,U,U1,U,15,3,1,0.26,4,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd10067fff,95,1422.61,69.92,119.36092,U101,U,U1,U,16,3,2,0.26,4,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd102d7fff,200,1420.28,11.26,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd11c57fff,214,1422.34,44.37,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd13d6ffff,94,1416.8,8.16,601,U101,U,U1,U,10,2,1,0.26,3,3,4,0.3,0,0.26,0.16,2,0.02
8a658bd102cffff,218,1420.64,60.65,588.83752,U101,U,U1,U,15,3,2,0.26,4,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd115b7fff,49,1420.95,60.12,588.83752,U101,U,U1,U,12,3,2,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd1009ffff,95,1420.81,0.91,588.83752,U101,U,U1,U,13,3,2,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd138f7fff,192,1417.01,41.98,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10ad7fff,191,1422.65,59.98,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd13867fff,187,1419.36,59.67,280.73192,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd139b7fff,95,1417.84,33.82,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1029ffff,177,1419.97,40.79,240.40407,U101,U,U1,U,14,3,3,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11c2ffff,209,1422.54,18.5,96.44206,U101,U,U1,U,13,3,1,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11ce7fff,52,1422.28,54.1,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10987fff,100,1425.88,58.01,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd115affff,211,1421.16,1.94,280.73192,U101,U,U1,U,14,3,2,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd13877fff,191,1418.87,30.62,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1004ffff,190,1422.09,19.77,119.36092,U101,U,U1,U,13,3,2,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd10677fff,190,1419.04,13.18,240.40407,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd108a7fff,100,1425.37,3.87,601,U101,U,U1,U,15,3,1,0.26,4,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd10727fff,51,1420.72,8.16,588.83752,U101,U,U1,U,16,3,2,0.26,4,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd1018ffff,92,1422.11,59.4,588.83752,U101,U,U1,U,12,3,2,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd102dffff,209,1420.29,20.75,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd13937fff,176,1419.43,60.95,280.73192,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10777fff,182,1420.27,19.88,119.36092,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10a8ffff,89,1422.78,1.94,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1022ffff,191,1421.69,24.36,280.73192,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10247fff,245,1421.56,26.22,280.73192,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd106d7fff,86,1416.83,25.3,601,U101,U,U1,U,12,2,1,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd10177fff,207,1423.34,46.12,119.36092,U101,U,U1,U,13,3,2,0.26,4,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd11577fff,214,1421.82,41.17,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd11c97fff,217,1421.97,11.8,280.73192,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd138c7fff,210,1417.08,68.77,601,U101,U,U1,U,14,3,1,0.26,4,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10baffff,95,1423.89,40.21,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd106a7fff,45,1417.45,22.66,601,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd1385ffff,172,1418.29,72.59,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd10077fff,183,1422.32,58.32,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd138cffff,11,1416.98,68.97,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10617fff,101,1417.92,59.99,240.40407,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11cf7fff,93,1422.19,65.85,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd114a7fff,199,1420.6,40.8,280.73192,U101,U,U1,U,13,3,3,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd1396ffff,237,1420.23,42.03,280.73192,U101,U,U1,U,16,3,2,0.26,4,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd11cdffff,95,1421.98,68.79,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd13947fff,49,1419.84,66.58,280.73192,U101,U,U1,U,14,3,2,0.26,4,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10b9ffff,101,1423.5,42.72,119.36092,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1062ffff,95,1419.17,35.78,240.40407,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1078ffff,42,1417.92,54.51,240.40407,U101,U,U1,U,13,3,3,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd11197fff,187,1422.09,10.29,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10ae7fff,199,1423,44.3,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd100b7fff,94,1421.29,60.06,119.36092,U101,U,U1,U,13,3,3,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd11c5ffff,215,1422.29,9.1,601,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
8a658bd10aeffff,191,1422.87,15.13,601,U101,U,U1,U,13,3,1,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10337fff,184,1422.32,19.04,119.36092,U101,U,U1,U,14,3,1,0.26,4,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd11c1ffff,185,1422.33,48.63,601,U101,U,U1,U,14,3,1,0.26,4,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd1068ffff,204,1416.97,61.05,601,U101,U,U1,U,11,2,1,0.26,3,3,4,0.3,1,0.26,0.16,2,0.02
8a658bd10147fff,94,1423.12,48.05,119.36092,U101,U,U1,U,13,3,2,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd10ba7fff,101,1424.18,46.5,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd1021ffff,215,1421.05,20.63,588.83752,U101,U,U1,U,14,3,2,0.26,3,3,4,0.3,3,0.26,0.16,2,0.02
8a658bd10a17fff,189,1423.36,50.21,601,U101,U,U1,U,12,3,1,0.26,3,3,4,0.3,2,0.26,0.16,2,0.02
8a658bd11c47fff,214,1422.39,26.05,601,U101,U,U1,U,14,3,1,0.26,3,3,4,0.3,4,0.26,0.16,2,0.02
