hex_id,Elevation_,Slope1_maj,Total Rain,Slope,LU_CODE,LUL1_CODE,LUL2_CODE,LU_lv1,r_lu,LENGTH_maj,r_stream_m,w_stream_m,Elev,r_dem_majo,r_rain_maj,w_rain_maj,r_slope_ma,w_slope_ma,w_dem,w_lu,Total rw,Total r
8a658bd102e7fff,191,16.620468,1421.04,16.62,U101,U,U1,U,2,588.83752,1,0.26,191,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd1005ffff,47,71.426201,1421.85,71.43,U101,U,U1,U,2,119.36092,2,0.26,47,3,4,0.3,1,0.26,0.16,0.02,3,12
8a658bd1081ffff,100,54.902695,1424.93,54.9,U101,U,U1,U,2,601,1,0.26,100,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1032ffff,52,22.974638,1422.34,22.97,U101,U,U1,U,2,601,1,0.26,52,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd11c07fff,212,21.415688,1422.49,21.42,U101,U,U1,U,2,601,1,0.26,212,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1399ffff,101,28.144875,1417.15,28.14,U101,U,U1,U,2,601,1,0.26,101,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd138d7fff,193,55.820248,1416.71,55.82,U101,U,U1,U,2,601,1,0.26,193,4,4,0.3,1,0.26,0.16,0.02,2,12
8a658bd100d7fff,52,69.762695,1420.8,69.76,U101,U,U1,U,2,588.83752,2,0.26,52,3,4,0.3,4,0.26,0.16,0.02,3,15
8a658bd13d67fff,22,51.521633,1416.75,51.52,U101,U,U1,U,2,601,1,0.26,22,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd10a97fff,89,62.050457,1422.82,62.05,U101,U,U1,U,2,119.36092,2,0.26,89,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10a87fff,181,49.3335,1422.97,49.33,U101,U,U1,U,2,119.36092,1,0.26,181,4,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd1398ffff,205,5.026449,1417.78,5.03,U101,U,U1,U,2,601,1,0.26,205,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd1151ffff,95,70.123589,1421.4,70.12,U101,U,U1,U,2,280.73192,1,0.26,95,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1074ffff,52,55.976662,1420.09,55.98,U101,U,U1,U,2,588.83752,2,0.26,52,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd11ccffff,187,31.692135,1422.09,31.69,U101,U,U1,U,2,601,1,0.26,187,4,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd13817fff,92,48.261471,1417.69,48.26,U101,U,U1,U,2,601,1,0.26,92,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd10297fff,41,59.838127,1419.97,59.84,U101,U,U1,U,2,240.40407,3,0.26,41,3,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd1006ffff,92,65.80452,1422.42,65.8,U101,U,U1,U,2,119.36092,2,0.26,92,4,4,0.3,1,0.26,0.16,0.02,3,13
8a658bd13bb7fff,0,31.899675,1417.47,31.9,W101,W,W1,W,4,601,1,0.26,0,0,4,0.3,0,0.26,0.16,0.02,2,9
8a658bd103b7fff,216,41.861122,1421.4,41.86,U101,U,U1,U,2,588.83752,2,0.26,216,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd1028ffff,238,30.175083,1420.37,30.18,U101,U,U1,U,2,588.83752,2,0.26,238,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd139a7fff,89,55.023594,1418.43,55.02,U101,U,U1,U,2,280.73192,1,0.26,89,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1016ffff,189,54.478371,1423.38,54.48,U101,U,U1,U,2,119.36092,4,0.26,189,4,4,0.3,2,0.26,0.16,0.02,3,16
8a658bd11c9ffff,214,2.16345,1421.93,2.16,U101,U,U1,U,2,280.73192,1,0.26,214,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd10687fff,94,12.640882,1417.12,12.64,U101,U,U1,U,2,601,1,0.26,94,4,4,0.3,4,0.26,0.16,0.02,3,15
8a658bd1388ffff,95,4.752461,1416.66,4.75,U101,U,U1,U,2,601,1,0.26,95,4,4,0.3,1,0.26,0.16,0.02,2,12
8a658bd13847fff,54,20.123632,1418.79,20.12,U101,U,U1,U,2,601,1,0.26,54,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd1038ffff,187,14.218394,1421.2,14.22,U101,U,U1,U,2,240.40407,3,0.26,187,3,4,0.3,4,0.26,0.16,0.02,4,16
8a658bd1065ffff,89,47.258274,1418.4,47.26,U101,U,U1,U,2,601,1,0.26,89,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd10b97fff,94,63.721588,1423.71,63.72,U101,U,U1,U,2,119.36092,1,0.26,94,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd10037fff,205,11.131791,1422.42,11.13,U101,U,U1,U,2,588.83752,2,0.26,205,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd1002ffff,192,46.984703,1422.55,46.98,U101,U,U1,U,2,240.40407,2,0.26,192,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10817fff,94,7.930325,1425.32,7.93,U101,U,U1,U,2,601,1,0.26,94,4,4,0.3,1,0.26,0.16,0.02,2,12
8a658bd13837fff,89,27.552307,1418.37,27.55,U101,U,U1,U,2,280.73192,1,0.26,89,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd108c7fff,204,58.131172,1424.33,58.13,U101,U,U1,U,2,601,1,0.26,204,3,4,0.3,0,0.26,0.16,0.02,2,10
8a658bd100cffff,214,26.633503,1421.08,26.63,U101,U,U1,U,2,119.36092,2,0.26,214,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd108affff,204,73.161545,1424.97,73.16,U101,U,U1,U,2,601,1,0.26,204,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd106effff,40,5.237716,1417.81,5.24,U101,U,U1,U,2,601,1,0.26,40,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd11d8ffff,200,24.743052,1422.49,24.74,U101,U,U1,U,2,601,1,0.26,200,4,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10637fff,89,46.499794,1418.65,46.5,U101,U,U1,U,2,240.40407,3,0.26,89,3,4,0.3,1,0.26,0.16,0.02,3,13
8a658bd10257fff,214,22.648796,1421.32,22.65,U101,U,U1,U,2,588.83752,2,0.26,214,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd13987fff,51,30.084145,1417.74,30.08,U101,U,U1,U,2,601,1,0.26,51,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1076ffff,212,58.367107,1420.52,58.37,U101,U,U1,U,2,588.83752,2,0.26,212,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd11c4ffff,174,18.49221,1422.33,18.49,U101,U,U1,U,2,601,1,0.26,174,4,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd10357fff,199,53.573021,1421.95,53.57,U101,U,U1,U,2,280.73192,1,0.26,199,4,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd13967fff,234,64.361786,1420.21,64.36,U101,U,U1,U,2,588.83752,2,0.26,234,4,4,0.3,3,0.26,0.16,0.02,3,15
8a658bd100c7fff,184,19.050753,1421.16,19.05,U101,U,U1,U,2,588.83752,2,0.26,184,3,4,0.3,4,0.26,0.16,0.02,3,15
8a658bd10387fff,174,46.508808,1421.34,46.51,U101,U,U1,U,2,588.83752,2,0.26,174,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10657fff,22,53.818195,1418.51,53.82,U101,U,U1,U,2,240.40407,1,0.26,22,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd10007fff,216,20.69449,1422.3,20.69,U101,U,U1,U,2,240.40407,2,0.26,216,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd11c17fff,43,17.997986,1422.43,18,U101,U,U1,U,2,601,1,0.26,43,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd10aaffff,95,59.18092,1423.1,59.18,U101,U,U1,U,2,601,1,0.26,95,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd114b7fff,43,29.135101,1420.16,29.14,U101,U,U1,U,2,280.73192,3,0.26,43,3,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd11437fff,188,61.925003,1421.17,61.93,U101,U,U1,U,2,280.73192,3,0.26,188,3,4,0.3,1,0.26,0.16,0.02,3,13
8a658bd11d9ffff,177,26.877432,1422.4,26.88,U101,U,U1,U,2,601,1,0.26,177,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd10217fff,188,7.72245,1421.16,7.72,U101,U,U1,U,2,588.83752,2,0.26,188,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd11507fff,187,66.299553,1421.67,66.3,U101,U,U1,U,2,280.73192,1,0.26,187,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd13957fff,237,22.796301,1419.4,22.8,U101,U,U1,U,2,280.73192,2,0.26,237,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd138b7fff,94,70.572334,1416.7,70.57,U101,U,U1,U,2,601,1,0.26,94,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd10a07fff,51,65.954704,1423.44,65.95,U101,U,U1,U,2,601,1,0.26,51,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd106c7fff,42,29.014551,1417.18,29.01,U101,U,U1,U,2,601,1,0.26,42,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1026ffff,41,69.213005,1421.76,69.21,U101,U,U1,U,2,280.73192,2,0.26,41,4,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd106affff,44,47.566803,1417.29,47.57,U101,U,U1,U,2,601,1,0.26,44,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd11497fff,92,64.163406,1419.79,64.16,U101,U,U1,U,2,280.73192,1,0.26,92,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd1158ffff,50,45.188812,1420.9,45.19,U101,U,U1,U,2,280.73192,3,0.26,50,3,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd106cffff,51,30.356312,1417.22,30.36,U101,U,U1,U,2,601,1,0.26,51,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1075ffff,92,38.815044,1419.66,38.82,U101,U,U1,U,2,588.83752,2,0.26,92,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd11ceffff,185,65.010033,1422.21,65.01,U101,U,U1,U,2,601,1,0.26,185,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd106f7fff,40,15.727946,1417.31,15.73,U101,U,U1,U,2,601,1,0.26,40,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd100affff,52,67.653877,1421.46,67.65,U101,U,U1,U,2,588.83752,2,0.26,52,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd139affff,184,8.267836,1418.33,8.27,U101,U,U1,U,2,280.73192,1,0.26,184,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd1060ffff,51,47.899536,1418.5,47.9,U101,U,U1,U,2,240.40407,1,0.26,51,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd13917fff,216,55.043709,1418.96,55.04,U101,U,U1,U,2,280.73192,1,0.26,216,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd11cd7fff,11,57.73703,1422,57.74,U101,U,U1,U,2,601,1,0.26,11,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd10087fff,89,42.463963,1421.19,42.46,U101,U,U1,U,2,119.36092,2,0.26,89,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd11597fff,199,30.340181,1420.57,30.34,U101,U,U1,U,2,588.83752,2,0.26,199,4,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd102effff,218,3.223252,1420.95,3.22,U101,U,U1,U,2,588.83752,2,0.26,218,3,4,0.3,1,0.26,0.16,0.02,3,12
8a658bd100effff,217,42.380074,1421.57,42.38,U101,U,U1,U,2,588.83752,2,0.26,217,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd11c27fff,191,10.56963,1422.62,10.57,U101,U,U1,U,2,96.44206,1,0.26,191,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd102b7fff,179,7.386586,1420.49,7.39,U101,U,U1,U,2,240.40407,3,0.26,179,3,4,0.3,3,0.26,0.16,0.02,3,15
8a658bd10287fff,186,10.234263,1420.38,10.23,U101,U,U1,U,2,240.40407,3,0.26,186,3,4,0.3,3,0.26,0.16,0.02,3,15
8a658bd10bb7fff,94,3.879107,1424.04,3.88,U405,U,U4,U,2,601,1,0.26,94,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd1039ffff,191,6.774457,1420.88,6.77,U101,U,U1,U,2,588.83752,2,0.26,191,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd1395ffff,237,18.161337,1419.32,18.16,U101,U,U1,U,2,280.73192,1,0.26,237,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd106dffff,42,3.248164,1416.87,3.25,U101,U,U1,U,2,601,1,0.26,42,4,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd10167fff,86,55.285706,1423.53,55.29,U101,U,U1,U,2,119.36092,4,0.26,86,3,4,0.3,2,0.26,0.16,0.02,3,15
8a658bd111b7fff,187,14.340455,1422.17,14.34,U101,U,U1,U,2,601,1,0.26,187,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd11c77fff,234,26.437416,1422.45,26.44,U101,U,U1,U,2,601,1,0.26,234,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd10a1ffff,92,55.384899,1423.19,55.38,U101,U,U1,U,2,601,1,0.26,92,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1015ffff,228,24.864204,1422.76,24.86,U101,U,U1,U,2,588.83752,2,0.26,228,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10a57fff,217,31.375696,1423.07,31.38,U101,U,U1,U,2,601,1,0.26,217,4,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd10747fff,49,36.939911,1420.12,36.94,U101,U,U1,U,2,588.83752,2,0.26,49,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd11d97fff,90,67.294113,1422.52,67.29,U101,U,U1,U,2,601,1,0.26,90,4,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd1020ffff,187,47.468102,1421.34,47.47,U101,U,U1,U,2,588.83752,2,0.26,187,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10ab7fff,89,4.785624,1423.13,4.79,U101,U,U1,U,2,119.36092,1,0.26,89,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd11da7fff,185,18.937292,1422.78,18.94,U101,U,U1,U,2,601,1,0.26,185,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1030ffff,52,64.655502,1422.08,64.66,U101,U,U1,U,2,280.73192,1,0.26,52,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1159ffff,208,13.594697,1420.58,13.59,U101,U,U1,U,2,280.73192,2,0.26,208,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10a0ffff,49,48.385807,1423.27,48.39,U101,U,U1,U,2,601,1,0.26,49,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd1061ffff,101,49.830215,1417.92,49.83,U101,U,U1,U,2,240.40407,1,0.26,101,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1001ffff,210,23.553513,1421.79,23.55,U101,U,U1,U,2,588.83752,2,0.26,210,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd10397fff,237,23.156164,1421.02,23.16,U101,U,U1,U,2,588.83752,2,0.26,237,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd138a7fff,89,58.662861,1417.04,58.66,U101,U,U1,U,2,601,1,0.26,89,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd10377fff,211,28.334402,1422.26,28.33,U101,U,U1,U,2,601,1,0.26,211,4,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd11ca7fff,218,4.784835,1422.33,4.78,U101,U,U1,U,2,601,1,0.26,218,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd1008ffff,40,34.211796,1421,34.21,U101,U,U1,U,2,588.83752,2,0.26,40,4,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd11567fff,,,1421.96,,U101,U,U1,U,2,601,1,0.26,,4,4,0.3,1,0.26,0.16,0.02,2,12
8a658bd10647fff,52,61.574375,1419.04,61.57,U101,U,U1,U,2,240.40407,3,0.26,52,3,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd13857fff,49,63.286892,1418.26,63.29,U101,U,U1,U,2,601,1,0.26,49,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd108f7fff,,,1424.67,,U101,U,U1,U,2,601,1,0.26,,4,4,0.3,4,0.26,0.16,0.02,3,15
8a658bd100f7fff,181,53.99749,1421.35,54,U101,U,U1,U,2,588.83752,2,0.26,181,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd11527fff,211,19.692181,1421.86,19.69,U101,U,U1,U,2,601,1,0.26,211,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd1390ffff,93,18.290871,1419.36,18.29,U101,U,U1,U,2,280.73192,2,0.26,93,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd13927fff,93,57.03936,1419.87,57.04,U101,U,U1,U,2,588.83752,2,0.26,93,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd1031ffff,209,50.918163,1421.87,50.92,U101,U,U1,U,2,240.40407,3,0.26,209,4,4,0.3,2,0.26,0.16,0.02,3,15
8a658bd1035ffff,174,67.730507,1421.89,67.73,U101,U,U1,U,2,280.73192,3,0.26,174,3,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd10317fff,89,68.395256,1421.93,68.4,U101,U,U1,U,2,119.36092,1,0.26,89,4,4,0.3,4,0.26,0.16,0.02,3,15
8a658bd10067fff,95,69.919502,1422.61,69.92,U101,U,U1,U,2,119.36092,2,0.26,95,4,4,0.3,4,0.26,0.16,0.02,3,16
8a658bd102d7fff,200,11.258903,1420.28,11.26,U101,U,U1,U,2,588.83752,2,0.26,200,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd11c57fff,214,44.37067,1422.34,44.37,U101,U,U1,U,2,601,1,0.26,214,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd13d6ffff,94,8.156832,1416.8,8.16,U101,U,U1,U,2,601,1,0.26,94,3,4,0.3,0,0.26,0.16,0.02,2,10
8a658bd102cffff,218,60.645706,1420.64,60.65,U101,U,U1,U,2,588.83752,2,0.26,218,4,4,0.3,3,0.26,0.16,0.02,3,15
8a658bd115b7fff,49,60.123978,1420.95,60.12,U101,U,U1,U,2,588.83752,2,0.26,49,3,4,0.3,1,0.26,0.16,0.02,3,12
8a658bd1009ffff,95,0.91241,1420.81,0.91,U101,U,U1,U,2,588.83752,2,0.26,95,4,4,0.3,1,0.26,0.16,0.02,3,13
8a658bd138f7fff,192,41.975132,1417.01,41.98,U101,U,U1,U,2,601,1,0.26,192,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd10ad7fff,191,59.983521,1422.65,59.98,U101,U,U1,U,2,601,1,0.26,191,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd13867fff,187,59.671421,1419.36,59.67,U101,U,U1,U,2,280.73192,1,0.26,187,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd139b7fff,95,33.815529,1417.84,33.82,U101,U,U1,U,2,601,1,0.26,95,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1029ffff,177,40.789696,1419.97,40.79,U101,U,U1,U,2,240.40407,3,0.26,177,3,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd11c2ffff,209,18.497452,1422.54,18.5,U101,U,U1,U,2,96.44206,1,0.26,209,4,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd11ce7fff,52,54.096958,1422.28,54.1,U101,U,U1,U,2,601,1,0.26,52,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd10987fff,100,58.005177,1425.88,58.01,U101,U,U1,U,2,601,1,0.26,100,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd115affff,211,1.935103,1421.16,1.94,U101,U,U1,U,2,280.73192,2,0.26,211,4,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd13877fff,191,30.623123,1418.87,30.62,U101,U,U1,U,2,601,1,0.26,191,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd1004ffff,190,19.765936,1422.09,19.77,U101,U,U1,U,2,119.36092,2,0.26,190,4,4,0.3,1,0.26,0.16,0.02,3,13
8a658bd10677fff,190,13.18117,1419.04,13.18,U101,U,U1,U,2,240.40407,2,0.26,190,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd108a7fff,100,3.865802,1425.37,3.87,U101,U,U1,U,2,601,1,0.26,100,4,4,0.3,4,0.26,0.16,0.02,3,15
8a658bd10727fff,51,8.163686,1420.72,8.16,U101,U,U1,U,2,588.83752,2,0.26,51,4,4,0.3,4,0.26,0.16,0.02,3,16
8a658bd1018ffff,92,59.399349,1422.11,59.4,U101,U,U1,U,2,588.83752,2,0.26,92,3,4,0.3,1,0.26,0.16,0.02,3,12
8a658bd102dffff,209,20.745861,1420.29,20.75,U101,U,U1,U,2,588.83752,2,0.26,209,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd13937fff,176,60.954193,1419.43,60.95,U101,U,U1,U,2,280.73192,2,0.26,176,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd10777fff,182,19.875336,1420.27,19.88,U101,U,U1,U,2,119.36092,2,0.26,182,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd10a8ffff,89,1.935103,1422.78,1.94,U101,U,U1,U,2,601,1,0.26,89,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1022ffff,191,24.362564,1421.69,24.36,U101,U,U1,U,2,280.73192,2,0.26,191,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10247fff,245,26.224936,1421.56,26.22,U101,U,U1,U,2,280.73192,2,0.26,245,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd106d7fff,86,25.30151,1416.83,25.3,U101,U,U1,U,2,601,1,0.26,86,4,4,0.3,1,0.26,0.16,0.02,2,12
8a658bd10177fff,207,46.124107,1423.34,46.12,U101,U,U1,U,2,119.36092,2,0.26,207,4,4,0.3,1,0.26,0.16,0.02,3,13
8a658bd11577fff,214,41.166626,1421.82,41.17,U101,U,U1,U,2,601,1,0.26,214,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd11c97fff,217,11.802227,1421.97,11.8,U101,U,U1,U,2,280.73192,1,0.26,217,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd138c7fff,210,68.768494,1417.08,68.77,U101,U,U1,U,2,601,1,0.26,210,4,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd10baffff,95,40.211399,1423.89,40.21,U101,U,U1,U,2,601,1,0.26,95,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd106a7fff,45,22.66189,1417.45,22.66,U101,U,U1,U,2,601,1,0.26,45,3,4,0.3,4,0.26,0.16,0.02,3,14
8a658bd1385ffff,172,72.591949,1418.29,72.59,U101,U,U1,U,2,601,1,0.26,172,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd10077fff,183,58.322926,1422.32,58.32,U101,U,U1,U,2,588.83752,2,0.26,183,3,4,0.3,3,0.26,0.16,0.02,3,14
8a658bd138cffff,11,68.967552,1416.98,68.97,U101,U,U1,U,2,601,1,0.26,11,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd10617fff,101,59.985794,1417.92,59.99,U101,U,U1,U,2,240.40407,1,0.26,101,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd11cf7fff,93,65.846672,1422.19,65.85,U101,U,U1,U,2,601,1,0.26,93,3,4,0.3,1,0.26,0.16,0.02,2,11
8a658bd114a7fff,199,40.79707,1420.6,40.8,U101,U,U1,U,2,280.73192,3,0.26,199,3,4,0.3,1,0.26,0.16,0.02,3,13
8a658bd1396ffff,237,42.027256,1420.23,42.03,U101,U,U1,U,2,280.73192,2,0.26,237,4,4,0.3,4,0.26,0.16,0.02,3,16
8a658bd11cdffff,95,68.787285,1421.98,68.79,U101,U,U1,U,2,601,1,0.26,95,3,4,0.3,3,0.26,0.16,0.02,3,13
8a658bd13947fff,49,66.582413,1419.84,66.58,U101,U,U1,U,2,280.73192,2,0.26,49,4,4,0.3,2,0.26,0.16,0.02,3,14
8a658bd10b9ffff,101,42.722633,1423.5,42.72,U101,U,U1,U,2,119.36092,1,0.26,101,3,4,0.3,2,0.26,0.16,0.02,3,12
8a658bd1062ffff,95,35.782043,1419.17,35.78,U101,U,U1,U,2,240.40407,2,0.26,95,3,4,0.3,2,0.26,0.16,0.02,3,13
8a658bd1078ffff,42,54.506691,1417.92,54.51,U101,U,U1,U,2,240.40407,3,0.26,42,3,4,0.3,1,0.26,0.16,0.02,3,13
