id,Elevation_,Slope1_maj,Total Rain,Slope,LU_CODE,LUL1_CODE,LUL2_CODE,LU_lv1,r_lu,LENGTH_maj,r_stream_m,w_stream_m,Elev,r_dem_majo,r_rain_maj,w_rain_maj,r_slope_ma,w_slope_ma,w_dem,w_lu,Total rw,Total r
8a658bd10327fff,176.000000,27.387041,1422.500000,27.39,U101,U,U1,U,"2",601.000000,1.000000,0.260000,176.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd10027fff,205.000000,57.495419,1422.710000,57.50,U101,U,U1,U,"2",588.837520,2.000000,0.260000,205.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd1391ffff,51.000000,67.624374,1418.870000,67.62,U101,U,U1,U,"2",280.731920,1.000000,0.260000,51.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd102f7fff,185.000000,6.064354,1420.720000,6.06,U101,U,U1,U,"2",588.837520,2.000000,0.260000,185.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd13997fff,89.000000,57.438210,1417.090000,57.44,U101,U,U1,U,"2",601.000000,1.000000,0.260000,89.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd102e7fff,191.000000,16.620468,1421.040000,16.62,U101,U,U1,U,"2",588.837520,1.000000,0.260000,191.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1005ffff,47.000000,71.426201,1421.850000,71.43,U101,U,U1,U,"2",119.360920,2.000000,0.260000,47.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1081ffff,100.000000,54.902695,1424.930000,54.90,U101,U,U1,U,"2",601.000000,1.000000,0.260000,100.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1032ffff,52.000000,22.974638,1422.340000,22.97,U101,U,U1,U,"2",601.000000,1.000000,0.260000,52.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd11c07fff,212.000000,21.415688,1422.490000,21.42,U101,U,U1,U,"2",601.000000,1.000000,0.260000,212.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1399ffff,101.000000,28.144875,1417.150000,28.14,U101,U,U1,U,"2",601.000000,1.000000,0.260000,101.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd138d7fff,193.000000,55.820248,1416.710000,55.82,U101,U,U1,U,"2",601.000000,1.000000,0.260000,193.00,4.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",12.000
8a658bd100d7fff,52.000000,69.762695,1420.800000,69.76,U101,U,U1,U,"2",588.837520,2.000000,0.260000,52.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",15.000
8a658bd13d67fff,22.000000,51.521633,1416.750000,51.52,U101,U,U1,U,"2",601.000000,1.000000,0.260000,22.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",11.000
8a658bd10a97fff,89.000000,62.050457,1422.820000,62.05,U101,U,U1,U,"2",119.360920,2.000000,0.260000,89.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10a87fff,181.000000,49.333500,1422.970000,49.33,U101,U,U1,U,"2",119.360920,1.000000,0.260000,181.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1398ffff,205.000000,5.026449,1417.780000,5.03,U101,U,U1,U,"2",601.000000,1.000000,0.260000,205.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",14.000
8a658bd1151ffff,95.000000,70.123589,1421.400000,70.12,U101,U,U1,U,"2",280.731920,1.000000,0.260000,95.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1074ffff,52.000000,55.976662,1420.090000,55.98,U101,U,U1,U,"2",588.837520,2.000000,0.260000,52.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11ccffff,187.000000,31.692135,1422.090000,31.69,U101,U,U1,U,"2",601.000000,1.000000,0.260000,187.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd13817fff,92.000000,48.261471,1417.690000,48.26,U101,U,U1,U,"2",601.000000,1.000000,0.260000,92.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10297fff,41.000000,59.838127,1419.970000,59.84,U101,U,U1,U,"2",240.404070,3.000000,0.260000,41.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd1006ffff,92.000000,65.804520,1422.420000,65.80,U101,U,U1,U,"2",119.360920,2.000000,0.260000,92.00,4.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"3",13.000
8a658bd13bb7fff,0.000000,31.899675,1417.470000,31.90,W101,W,W1,W,"4",601.000000,1.000000,0.260000,0.00,0.000000,4.000000,0.300000,0.000000,0.260000,0.16,0.020,"2",9.000
8a658bd103b7fff,216.000000,41.861122,1421.400000,41.86,U101,U,U1,U,"2",588.837520,2.000000,0.260000,216.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1028ffff,238.000000,30.175083,1420.370000,30.18,U101,U,U1,U,"2",588.837520,2.000000,0.260000,238.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd139a7fff,89.000000,55.023594,1418.430000,55.02,U101,U,U1,U,"2",280.731920,1.000000,0.260000,89.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1016ffff,189.000000,54.478371,1423.380000,54.48,U101,U,U1,U,"2",119.360920,4.000000,0.260000,189.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",16.000
8a658bd11c9ffff,214.000000,2.163450,1421.930000,2.16,U101,U,U1,U,"2",280.731920,1.000000,0.260000,214.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10687fff,94.000000,12.640882,1417.120000,12.64,U101,U,U1,U,"2",601.000000,1.000000,0.260000,94.00,4.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",15.000
8a658bd1388ffff,95.000000,4.752461,1416.660000,4.75,U101,U,U1,U,"2",601.000000,1.000000,0.260000,95.00,4.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",12.000
8a658bd13847fff,54.000000,20.123632,1418.790000,20.12,U101,U,U1,U,"2",601.000000,1.000000,0.260000,54.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",11.000
8a658bd1038ffff,187.000000,14.218394,1421.200000,14.22,U101,U,U1,U,"2",240.404070,3.000000,0.260000,187.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"4",16.000
8a658bd1065ffff,89.000000,47.258274,1418.400000,47.26,U101,U,U1,U,"2",601.000000,1.000000,0.260000,89.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd10b97fff,94.000000,63.721588,1423.710000,63.72,U101,U,U1,U,"2",119.360920,1.000000,0.260000,94.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd10037fff,205.000000,11.131791,1422.420000,11.13,U101,U,U1,U,"2",588.837520,2.000000,0.260000,205.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd1002ffff,192.000000,46.984703,1422.550000,46.98,U101,U,U1,U,"2",240.404070,2.000000,0.260000,192.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10817fff,94.000000,7.930325,1425.320000,7.93,U101,U,U1,U,"2",601.000000,1.000000,0.260000,94.00,4.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",12.000
8a658bd13837fff,89.000000,27.552307,1418.370000,27.55,U101,U,U1,U,"2",280.731920,1.000000,0.260000,89.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd108c7fff,204.000000,58.131172,1424.330000,58.13,U101,U,U1,U,"2",601.000000,1.000000,0.260000,204.00,3.000000,4.000000,0.300000,0.000000,0.260000,0.16,0.020,"2",10.000
8a658bd100cffff,214.000000,26.633503,1421.080000,26.63,U101,U,U1,U,"2",119.360920,2.000000,0.260000,214.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd108affff,204.000000,73.161545,1424.970000,73.16,U101,U,U1,U,"2",601.000000,1.000000,0.260000,204.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",11.000
8a658bd106effff,40.000000,5.237716,1417.810000,5.24,U101,U,U1,U,"2",601.000000,1.000000,0.260000,40.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",14.000
8a658bd11d8ffff,200.000000,24.743052,1422.490000,24.74,U101,U,U1,U,"2",601.000000,1.000000,0.260000,200.00,4.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10637fff,89.000000,46.499794,1418.650000,46.50,U101,U,U1,U,"2",240.404070,3.000000,0.260000,89.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10257fff,214.000000,22.648796,1421.320000,22.65,U101,U,U1,U,"2",588.837520,2.000000,0.260000,214.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd13987fff,51.000000,30.084145,1417.740000,30.08,U101,U,U1,U,"2",601.000000,1.000000,0.260000,51.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1076ffff,212.000000,58.367107,1420.520000,58.37,U101,U,U1,U,"2",588.837520,2.000000,0.260000,212.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11c4ffff,174.000000,18.492210,1422.330000,18.49,U101,U,U1,U,"2",601.000000,1.000000,0.260000,174.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10357fff,199.000000,53.573021,1421.950000,53.57,U101,U,U1,U,"2",280.731920,1.000000,0.260000,199.00,4.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd13967fff,234.000000,64.361786,1420.210000,64.36,U101,U,U1,U,"2",588.837520,2.000000,0.260000,234.00,4.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",15.000
8a658bd100c7fff,184.000000,19.050753,1421.160000,19.05,U101,U,U1,U,"2",588.837520,2.000000,0.260000,184.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",15.000
8a658bd10387fff,174.000000,46.508808,1421.340000,46.51,U101,U,U1,U,"2",588.837520,2.000000,0.260000,174.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10657fff,22.000000,53.818195,1418.510000,53.82,U101,U,U1,U,"2",240.404070,1.000000,0.260000,22.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd10007fff,216.000000,20.694490,1422.300000,20.69,U101,U,U1,U,"2",240.404070,2.000000,0.260000,216.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd11c17fff,43.000000,17.997986,1422.430000,18.00,U101,U,U1,U,"2",601.000000,1.000000,0.260000,43.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10aaffff,95.000000,59.180920,1423.100000,59.18,U101,U,U1,U,"2",601.000000,1.000000,0.260000,95.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd114b7fff,43.000000,29.135101,1420.160000,29.14,U101,U,U1,U,"2",280.731920,3.000000,0.260000,43.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd11437fff,188.000000,61.925003,1421.170000,61.93,U101,U,U1,U,"2",280.731920,3.000000,0.260000,188.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11d9ffff,177.000000,26.877432,1422.400000,26.88,U101,U,U1,U,"2",601.000000,1.000000,0.260000,177.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10217fff,188.000000,7.722450,1421.160000,7.72,U101,U,U1,U,"2",588.837520,2.000000,0.260000,188.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd11507fff,187.000000,66.299553,1421.670000,66.30,U101,U,U1,U,"2",280.731920,1.000000,0.260000,187.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd13957fff,237.000000,22.796301,1419.400000,22.80,U101,U,U1,U,"2",280.731920,2.000000,0.260000,237.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd138b7fff,94.000000,70.572334,1416.700000,70.57,U101,U,U1,U,"2",601.000000,1.000000,0.260000,94.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",11.000
8a658bd10a07fff,51.000000,65.954704,1423.440000,65.95,U101,U,U1,U,"2",601.000000,1.000000,0.260000,51.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd106c7fff,42.000000,29.014551,1417.180000,29.01,U101,U,U1,U,"2",601.000000,1.000000,0.260000,42.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1026ffff,41.000000,69.213005,1421.760000,69.21,U101,U,U1,U,"2",280.731920,2.000000,0.260000,41.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd106affff,44.000000,47.566803,1417.290000,47.57,U101,U,U1,U,"2",601.000000,1.000000,0.260000,44.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd11497fff,92.000000,64.163406,1419.790000,64.16,U101,U,U1,U,"2",280.731920,1.000000,0.260000,92.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",11.000
8a658bd1158ffff,50.000000,45.188812,1420.900000,45.19,U101,U,U1,U,"2",280.731920,3.000000,0.260000,50.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd106cffff,51.000000,30.356312,1417.220000,30.36,U101,U,U1,U,"2",601.000000,1.000000,0.260000,51.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1075ffff,92.000000,38.815044,1419.660000,38.82,U101,U,U1,U,"2",588.837520,2.000000,0.260000,92.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11ceffff,185.000000,65.010033,1422.210000,65.01,U101,U,U1,U,"2",601.000000,1.000000,0.260000,185.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",14.000
8a658bd106f7fff,40.000000,15.727946,1417.310000,15.73,U101,U,U1,U,"2",601.000000,1.000000,0.260000,40.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd100affff,52.000000,67.653877,1421.460000,67.65,U101,U,U1,U,"2",588.837520,2.000000,0.260000,52.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd139affff,184.000000,8.267836,1418.330000,8.27,U101,U,U1,U,"2",280.731920,1.000000,0.260000,184.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1060ffff,51.000000,47.899536,1418.500000,47.90,U101,U,U1,U,"2",240.404070,1.000000,0.260000,51.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd13917fff,216.000000,55.043709,1418.960000,55.04,U101,U,U1,U,"2",280.731920,1.000000,0.260000,216.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11cd7fff,11.000000,57.737030,1422.000000,57.74,U101,U,U1,U,"2",601.000000,1.000000,0.260000,11.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10087fff,89.000000,42.463963,1421.190000,42.46,U101,U,U1,U,"2",119.360920,2.000000,0.260000,89.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11597fff,199.000000,30.340181,1420.570000,30.34,U101,U,U1,U,"2",588.837520,2.000000,0.260000,199.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd102effff,218.000000,3.223252,1420.950000,3.22,U101,U,U1,U,"2",588.837520,2.000000,0.260000,218.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"3",12.000
8a658bd100effff,217.000000,42.380074,1421.570000,42.38,U101,U,U1,U,"2",588.837520,2.000000,0.260000,217.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd11c27fff,191.000000,10.569630,1422.620000,10.57,U101,U,U1,U,"2",96.442060,1.000000,0.260000,191.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd102b7fff,179.000000,7.386586,1420.490000,7.39,U101,U,U1,U,"2",240.404070,3.000000,0.260000,179.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",15.000
8a658bd10287fff,186.000000,10.234263,1420.380000,10.23,U101,U,U1,U,"2",240.404070,3.000000,0.260000,186.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",15.000
8a658bd10bb7fff,94.000000,3.879107,1424.040000,3.88,U405,U,U4,U,"2",601.000000,1.000000,0.260000,94.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1039ffff,191.000000,6.774457,1420.880000,6.77,U101,U,U1,U,"2",588.837520,2.000000,0.260000,191.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd1395ffff,237.000000,18.161337,1419.320000,18.16,U101,U,U1,U,"2",280.731920,1.000000,0.260000,237.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",14.000
8a658bd106dffff,42.000000,3.248164,1416.870000,3.25,U101,U,U1,U,"2",601.000000,1.000000,0.260000,42.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10167fff,86.000000,55.285706,1423.530000,55.29,U101,U,U1,U,"2",119.360920,4.000000,0.260000,86.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",15.000
8a658bd111b7fff,187.000000,14.340455,1422.170000,14.34,U101,U,U1,U,"2",601.000000,1.000000,0.260000,187.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11c77fff,234.000000,26.437416,1422.450000,26.44,U101,U,U1,U,"2",601.000000,1.000000,0.260000,234.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10a1ffff,92.000000,55.384899,1423.190000,55.38,U101,U,U1,U,"2",601.000000,1.000000,0.260000,92.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1015ffff,228.000000,24.864204,1422.760000,24.86,U101,U,U1,U,"2",588.837520,2.000000,0.260000,228.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10a57fff,217.000000,31.375696,1423.070000,31.38,U101,U,U1,U,"2",601.000000,1.000000,0.260000,217.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10747fff,49.000000,36.939911,1420.120000,36.94,U101,U,U1,U,"2",588.837520,2.000000,0.260000,49.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11d97fff,90.000000,67.294113,1422.520000,67.29,U101,U,U1,U,"2",601.000000,1.000000,0.260000,90.00,4.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd1020ffff,187.000000,47.468102,1421.340000,47.47,U101,U,U1,U,"2",588.837520,2.000000,0.260000,187.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10ab7fff,89.000000,4.785624,1423.130000,4.79,U101,U,U1,U,"2",119.360920,1.000000,0.260000,89.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd11da7fff,185.000000,18.937292,1422.780000,18.94,U101,U,U1,U,"2",601.000000,1.000000,0.260000,185.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1030ffff,52.000000,64.655502,1422.080000,64.66,U101,U,U1,U,"2",280.731920,1.000000,0.260000,52.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1159ffff,208.000000,13.594697,1420.580000,13.59,U101,U,U1,U,"2",280.731920,2.000000,0.260000,208.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10a0ffff,49.000000,48.385807,1423.270000,48.39,U101,U,U1,U,"2",601.000000,1.000000,0.260000,49.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",11.000
8a658bd1061ffff,101.000000,49.830215,1417.920000,49.83,U101,U,U1,U,"2",240.404070,1.000000,0.260000,101.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",12.000
8a658bd1001ffff,210.000000,23.553513,1421.790000,23.55,U101,U,U1,U,"2",588.837520,2.000000,0.260000,210.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd10397fff,237.000000,23.156164,1421.020000,23.16,U101,U,U1,U,"2",588.837520,2.000000,0.260000,237.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",14.000
8a658bd138a7fff,89.000000,58.662861,1417.040000,58.66,U101,U,U1,U,"2",601.000000,1.000000,0.260000,89.00,3.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10377fff,211.000000,28.334402,1422.260000,28.33,U101,U,U1,U,"2",601.000000,1.000000,0.260000,211.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11ca7fff,218.000000,4.784835,1422.330000,4.78,U101,U,U1,U,"2",601.000000,1.000000,0.260000,218.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1008ffff,40.000000,34.211796,1421.000000,34.21,U101,U,U1,U,"2",588.837520,2.000000,0.260000,40.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd11567fff,,,1421.960000,,U101,U,U1,U,"2",601.000000,1.000000,0.260000,,4.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",12.000
8a658bd10647fff,52.000000,61.574375,1419.040000,61.57,U101,U,U1,U,"2",240.404070,3.000000,0.260000,52.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd13857fff,49.000000,63.286892,1418.260000,63.29,U101,U,U1,U,"2",601.000000,1.000000,0.260000,49.00,3.000000,4.000000,0.300000,1.000000,0.260000,0.16,0.020,"2",11.000
8a658bd108f7fff,,,1424.670000,,U101,U,U1,U,"2",601.000000,1.000000,0.260000,,4.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",15.000
8a658bd100f7fff,181.000000,53.997490,1421.350000,54.00,U101,U,U1,U,"2",588.837520,2.000000,0.260000,181.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd11527fff,211.000000,19.692181,1421.860000,19.69,U101,U,U1,U,"2",601.000000,1.000000,0.260000,211.00,3.000000,4.000000,0.300000,3.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1390ffff,93.000000,18.290871,1419.360000,18.29,U101,U,U1,U,"2",280.731920,2.000000,0.260000,93.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd13927fff,93.000000,57.039360,1419.870000,57.04,U101,U,U1,U,"2",588.837520,2.000000,0.260000,93.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",13.000
8a658bd1031ffff,209.000000,50.918163,1421.870000,50.92,U101,U,U1,U,"2",240.404070,3.000000,0.260000,209.00,4.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",15.000
8a658bd1035ffff,174.000000,67.730507,1421.890000,67.73,U101,U,U1,U,"2",280.731920,3.000000,0.260000,174.00,3.000000,4.000000,0.300000,2.000000,0.260000,0.16,0.020,"3",14.000
8a658bd10317fff,89.000000,68.395256,1421.930000,68.40,U101,U,U1,U,"2",119.360920,1.000000,0.260000,89.00,4.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",15.000
8a658bd10067fff,95.000000,69.919502,1422.610000,69.92,U101,U,U1,U,"2",119.360920,2.000000,0.260000,95.00,4.000000,4.000000,0.300000,4.000000,0.260000,0.16,0.020,"3",16.000
